EmployeeKey,EmployeeNationalID,SalesTerritoryKey,FirstName,LastName,FullName,Title,Title,HireDate,BirthDate,EmalAddress,Phone,MediumaritalSmalltatuSmall,Gender,PayFrequency,BaseRate,VacationHours,SickLeaveHours,DepartmentName,StartDate,EndDate,Status
1,14417807,11,  Guy,GILBERT,Guy Gilbert,Production   Technician   - WC60,Production Technician - WC60,1/28/2006,11/12/1981,guy1@adventure-works.com,320-555-0195,Medium,Male,1,12.45,21,30,Production,1/28/2006,,Current
2,253022876,11,Kevin,Brown,Kevin Brown,Marketing Assistant,Marketing Assistant,8/26/2006,12/1/1986,kevin0@adventure-works.com,150-555-0189,Small,Male,2,13.46,42,41,Marketing,8/26/2006,,Current
3,509647174,11,  Roberto,Tamburello,Roberto Tamburello,Engineering  Manager,Engineering Manager,6/11/2007,6/12/1974,roberto0@adventure-works.com,212-555-0187,Medium,Male,2,43.27,2,21,Engineering,6/11/2007,,Current
4,112457891,11,Rob,Walters,Rob Walters,Senior Tool Designer,Senior Tool Designer,7/5/2007,7/23/1974,rob0@adventure-works.com,612-555-0100,Small,Male,2,29.85,48,80,Tool Design,7/5/2007,12/28/2009,
5,112457891,11,Rob,Walters,Rob Walters,Senior Tool Designer,Senior Tool Designer,7/5/2007,7/23/1974,rob0@adventure-works.com,612-555-0100,Small,Male,2,29.85,48,80,Tool Design,12/28/2009,,Current
6,480168528,11,Thierry,D'Hers,Thierry D'Hers,Tool Designer,Tool Designer,7/11/2007,2/26/1959,thierry0@adventure-works.com,168-555-0183,Medium,Male,2,25.00,9,24,Tool Design,7/11/2007,,Current
7,24756624,11,David,Bradley,David Bradley,Marketing      Manager,Marketing Manager,7/20/2007,10/17/1974,david0@adventure-works.com,913-555-0172,Small,Male,2,37.50,40,40,Marketing,7/20/2007,2/11/2009,
8,24756624,11,   david,Bradley,David Bradley,Marketing  Manager,Marketing Manager,7/20/2007,10/17/1974,david0@adventure-works.com,913-555-0172,Small,Male,2,37.50,40,40,Marketing,2/12/2009,,Current
8,24756624,11,  David,Bradley,David Bradley,Marketing  Manager,Marketing Manager,7/20/2007,10/17/1974,david0@adventure-works.com,913-555-0172,Small,Male,2,37.50,40,40,Marketing,2/12/2009,,Current
9,309738752,11,JoLynn,Dobney,Jolynn Dobney,Production                  Supervisor - WC60,Production Supervisor - WC60,7/26/2007,8/16/1955,jolynn0@adventure-works.com,903-555-0145,Small,Female,2,25.00,82,61,Production,7/26/2007,,Current
10,690627818,11,  Ruth,Ellerbrock,Ruth Ellerbrock,Production   Technician   - WC10,Production Technician - WC10,8/6/2007,1/3/1956,ruth0@adventure-works.com,145-555-0130,Medium,Female,1,13.45,83,61,Production,8/6/2007,,Current
